prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,13,decode,pooled,258,0,258,258,191,67,67,segmented,fp16,1
q0,0,14,decode,pooled,258,0,258,258,183,75,75,segmented,fp16,1
q0,0,15,decode,pooled,258,0,258,258,191,67,67,segmented,fp16,1
q0,0,0,prefill,cuda:0,861,0,861,787,0,861,179,layer_lru,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,781,99,layer_lru,fp16,1
q0,0,1,decode,cuda:0,132,0,132,132,83,49,49,layer_lru,fp16,1
q0,0,1,decode,cuda:1,126,0,126,126,79,47,47,layer_lru,fp16,1
q0,0,2,decode,cuda:0,132,0,132,132,69,63,63,layer_lru,fp16,1
q0,0,2,decode,cuda:1,126,2,124,124,83,43,43,layer_lru,fp16,1
q0,0,3,decode,cuda:0,132,0,132,132,79,53,53,layer_lru,fp16,1
q0,0,3,decode,cuda:1,126,0,126,126,84,42,42,layer_lru,fp16,1
q0,0,4,decode,cuda:0,132,0,132,132,77,55,55,layer_lru,fp16,1
q0,0,4,decode,cuda:1,126,1,125,125,93,33,33,layer_lru,fp16,1
q0,0,5,decode,cuda:0,132,0,132,132,74,58,58,layer_lru,fp16,1
q0,0,5,decode,cuda:1,126,1,125,125,100,26,26,layer_lru,fp16,1
q0,0,6,decode,cuda:0,132,1,131,131,71,61,61,layer_lru,fp16,1
q0,0,6,decode,cuda:1,126,2,124,124,92,34,34,layer_lru,fp16,1
q0,0,7,decode,cuda:0,132,0,132,132,76,56,56,layer_lru,fp16,1
q0,0,7,decode,cuda:1,126,1,125,125,98,28,28,layer_lru,fp16,1
q0,0,8,decode,cuda:0,132,1,131,131,81,51,51,layer_lru,fp16,1
q0,0,8,decode,cuda:1,126,1,125,125,87,39,39,layer_lru,fp16,1
q0,0,9,decode,cuda:0,132,0,132,132,64,68,68,layer_lru,fp16,1
q0,0,9,decode,cuda:1,126,2,124,124,86,40,40,layer_lru,fp16,1
q0,0,10,decode,cuda:0,132,0,132,132,73,59,59,layer_lru,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,76,50,50,layer_lru,fp16,1
q0,0,11,decode,cuda:0,132,0,132,132,89,43,43,layer_lru,fp16,1
q0,0,11,decode,cuda:1,126,2,124,124,93,33,33,layer_lru,fp16,1
q0,0,12,decode,cuda:0,132,0,132,132,62,70,70,layer_lru,fp16,1
q0,0,12,decode,cuda:1,126,1,125,125,98,28,28,layer_lru,fp16,1
q0,0,13,decode,cuda:0,132,0,132,132,87,45,45,layer_lru,fp16,1
q0,0,13,decode,cuda:1,126,1,125,125,104,22,22,layer_lru,fp16,1
q0,0,14,decode,cuda:0,132,0,132,132,76,56,56,layer_lru,fp16,1
q0,0,14,decode,cuda:1,126,1,125,125,107,19,19,layer_lru,fp16,1
q0,0,15,decode,cuda:0,132,0,132,132,86,46,46,layer_lru,fp16,1
q0,0,15,decode,cuda:1,126,1,125,125,105,21,21,layer_lru,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,278,layer_lru,fp16,1
q0,0,1,decode,pooled,258,0,258,258,162,96,96,layer_lru,fp16,1
q0,0,2,decode,pooled,258,2,256,256,152,106,106,layer_lru,fp16,1
q0,0,3,decode,pooled,258,0,258,258,163,95,95,layer_lru,fp16,1
q0,0,4,decode,pooled,258,1,257,257,170,88,88,layer_lru,fp16,1
q0,0,5,decode,pooled,258,1,257,257,174,84,84,layer_lru,fp16,1
q0,0,6,decode,pooled,258,3,255,255,163,95,95,layer_lru,fp16,1
q0,0,7,decode,pooled,258,1,257,257,174,84,84,layer_lru,fp16,1
q0,0,8,decode,pooled,258,2,256,256,168,90,90,layer_lru,fp16,1
q0,0,9,decode,pooled,258,2,256,256,150,108,108,layer_lru,fp16,1
q0,0,10,decode,pooled,258,0,258,258,149,109,109,layer_lru,fp16,1
q0,0,11,decode,pooled,258,2,256,256,182,76,76,layer_lru,fp16,1
q0,0,12,decode,pooled,258,1,257,257,160,98,98,layer_lru,fp16,1
q0,0,13,decode,pooled,258,1,257,257,191,67,67,layer_lru,fp16,1
q0,0,14,decode,pooled,258,1,257,257,183,75,75,layer_lru,fp16,1
q0,0,15,decode,pooled,258,1,257,257,191,67,67,layer_lru,fp16,1
q0,0,0,prefill,cuda:0,861,0,861,787,0,861,179,static_hotset+dyn,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,781,99,static_hotset+dyn,fp16,1
