layer,expert,region,codec,orig,cbytes,est_bytes,c_ms,d_ms,verified,error,region_sha256,note
0,4,w1w,lz4_fast,4194304,4194339,,5.818118999968647,6.515328000034515,True,,13870e2e7c51a4b0c05738e6852fbcaee1953c6a2c4b0afd608701547d82aea6,
0,4,w1w,zstd_1,4194304,4044996,,16.838107000012315,8.397951000006287,True,,13870e2e7c51a4b0c05738e6852fbcaee1953c6a2c4b0afd608701547d82aea6,
0,4,w1w,zstd_3,4194304,4049797,,34.999420000019654,9.06021299999793,True,,13870e2e7c51a4b0c05738e6852fbcaee1953c6a2c4b0afd608701547d82aea6,
0,4,w1w,nib_split_zstd3,4194304,4364610,,201.18376499999613,34.31412699995917,True,,13870e2e7c51a4b0c05738e6852fbcaee1953c6a2c4b0afd608701547d82aea6,
0,4,w1w,order0,4194304,,4023154.300276947,,,,,13870e2e7c51a4b0c05738e6852fbcaee1953c6a2c4b0afd608701547d82aea6,
0,4,w1w,order1,4194304,,3935355.5516535547,,,,,13870e2e7c51a4b0c05738e6852fbcaee1953c6a2c4b0afd608701547d82aea6,
0,4,w1w,zeros,4194304,,,,,,,13870e2e7c51a4b0c05738e6852fbcaee1953c6a2c4b0afd608701547d82aea6,"{""zero_frac"": 0.004351377487182617, ""longest_zero_run"": 3, ""distinct_bytes"": 256}"
0,4,w3w,lz4_fast,4194304,4194339,,5.933725999966555,5.272975000025326,True,,e57d2d3f7ae1c8bf8deef10d3d145625ba68839ecfd2408d8739c6d42551ced3,
0,4,w3w,zstd_1,4194304,4045508,,13.803740000014386,8.162546999983533,True,,e57d2d3f7ae1c8bf8deef10d3d145625ba68839ecfd2408d8739c6d42551ced3,
0,4,w3w,zstd_3,4194304,4062683,,29.299468000033357,9.523115000035887,True,,e57d2d3f7ae1c8bf8deef10d3d145625ba68839ecfd2408d8739c6d42551ced3,
0,4,w3w,nib_split_zstd3,4194304,4363523,,177.49351099996602,28.139215000010154,True,,e57d2d3f7ae1c8bf8deef10d3d145625ba68839ecfd2408d8739c6d42551ced3,
0,4,w3w,order0,4194304,,4023506.0923342644,,,,,e57d2d3f7ae1c8bf8deef10d3d145625ba68839ecfd2408d8739c6d42551ced3,
0,4,w3w,order1,4194304,,3938380.9786674404,,,,,e57d2d3f7ae1c8bf8deef10d3d145625ba68839ecfd2408d8739c6d42551ced3,
