scope,policy,pin_frac,budget_gib,slots,requests,hits,misses,hit_rate,evictions,miss_frac,ssd_GiB_total,ssd_MiB_per_token,wall_prod_0.29,wall_lanes1_0.35,wall_qd1_0.37,wall_3gibs,wall_5gibs,wall_7gibs,wall_12gibs,ram_cost_GiB
full,lru,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,128.0
full,engine_priority_lru,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,128.0
full,arc,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,128.0
full,lfu,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,128.0
full,static_freq,0.5,128,10280,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
full,static_layer_freq,0.5,128,10280,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
full,freq_lru,0.25,128,10280,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
full,freq_lru,0.5,128,10280,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
full,freq_lru,0.75,128,10280,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
full,freq_lru_warmup,0.5,128,10280,5099,3964,1135,0.777407,0,0.222593,14.13,904.5,3.05,2.52,2.39,0.29,0.18,0.13,0.07,128.0
full,freq_x_recency,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,128.0
full,layer_lru,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,128.0
full,cost_aware,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,128.0
full,belady,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,128.0
gpu0,lru,0.5,1,80,2613,0,2613,0.0,2533,1.0,32.53,2082.2,7.01,5.81,5.5,0.68,0.41,0.29,0.17,1.0
gpu0,engine_priority_lru,0.5,1,80,2613,108,2505,0.041332,2425,0.958668,31.19,1996.2,6.72,5.57,5.27,0.65,0.39,0.28,0.16,1.0
gpu0,arc,0.5,1,80,2613,0,2613,0.0,2533,1.0,32.53,2082.2,7.01,5.81,5.5,0.68,0.41,0.29,0.17,1.0
gpu0,lfu,0.5,1,80,2613,374,2239,0.143131,2159,0.856869,27.88,1784.2,6.01,4.98,4.71,0.58,0.35,0.25,0.15,1.0
gpu0,static_freq,0.5,1,80,2613,675,1938,0.258324,0,0.741676,24.13,1544.3,5.2,4.31,4.08,0.5,0.3,0.22,0.13,1.0
gpu0,static_layer_freq,0.5,1,80,2613,218,2395,0.083429,0,0.916571,29.82,1908.5,6.43,5.33,5.04,0.62,0.37,0.27,0.16,1.0
gpu0,freq_lru,0.25,1,80,2613,223,2390,0.085343,2330,0.914657,29.76,1904.5,6.41,5.31,5.03,0.62,0.37,0.27,0.15,1.0
gpu0,freq_lru,0.5,1,80,2613,395,2218,0.151167,2178,0.848833,27.62,1767.5,5.95,4.93,4.66,0.58,0.35,0.25,0.14,1.0
gpu0,freq_lru,0.75,1,80,2613,548,2065,0.209721,2045,0.790279,25.71,1645.5,5.54,4.59,4.34,0.54,0.32,0.23,0.13,1.0
gpu0,freq_lru_warmup,0.5,1,80,2613,59,2554,0.022579,2514,0.977421,31.8,2035.2,6.85,5.68,5.37,0.66,0.4,0.28,0.17,1.0
gpu0,freq_x_recency,0.5,1,80,2613,334,2279,0.127822,2199,0.872178,28.38,1816.1,6.12,5.07,4.79,0.59,0.35,0.25,0.15,1.0
gpu0,layer_lru,0.5,1,80,2613,0,2613,0.0,2591,1.0,32.53,2082.2,7.01,5.81,5.5,0.68,0.41,0.29,0.17,1.0
gpu0,cost_aware,0.5,1,80,2613,0,2613,0.0,2533,1.0,32.53,2082.2,7.01,5.81,5.5,0.68,0.41,0.29,0.17,1.0
gpu0,belady,0.5,1,80,2613,762,1851,0.291619,1771,0.708381,23.05,1475.0,4.97,4.12,3.89,0.48,0.29,0.21,0.12,1.0
gpu0,lru,0.5,2,160,2613,499,2114,0.190968,1954,0.809032,26.32,1684.6,5.67,4.7,4.45,0.55,0.33,0.24,0.14,2.0
gpu0,engine_priority_lru,0.5,2,160,2613,229,2384,0.087639,2224,0.912361,29.68,1899.8,6.4,5.3,5.01,0.62,0.37,0.27,0.15,2.0
gpu0,arc,0.5,2,160,2613,414,2199,0.158439,2039,0.841561,27.38,1752.3,5.9,4.89,4.63,0.57,0.34,0.24,0.14,2.0
gpu0,lfu,0.5,2,160,2613,645,1968,0.246843,1808,0.753157,24.5,1568.2,5.28,4.38,4.14,0.51,0.31,0.22,0.13,2.0
gpu0,static_freq,0.5,2,160,2613,1040,1573,0.39801,0,0.60199,19.59,1253.5,4.22,3.5,3.31,0.41,0.24,0.17,0.1,2.0
gpu0,static_layer_freq,0.5,2,160,2613,538,2075,0.205894,0,0.794106,25.84,1653.5,5.57,4.61,4.36,0.54,0.32,0.23,0.13,2.0
gpu0,freq_lru,0.25,2,160,2613,678,1935,0.259472,1815,0.740528,24.09,1542.0,5.19,4.3,4.07,0.5,0.3,0.22,0.13,2.0
gpu0,freq_lru,0.5,2,160,2613,679,1934,0.259855,1854,0.740145,24.08,1541.2,5.19,4.3,4.07,0.5,0.3,0.22,0.13,2.0
gpu0,freq_lru,0.75,2,160,2613,880,1733,0.336778,1693,0.663222,21.58,1381.0,4.65,3.85,3.64,0.45,0.27,0.19,0.11,2.0
gpu0,freq_lru_warmup,0.5,2,160,2613,118,2495,0.045159,2415,0.954841,31.07,1988.2,6.7,5.55,5.25,0.65,0.39,0.28,0.16,2.0
gpu0,freq_x_recency,0.5,2,160,2613,584,2029,0.223498,1869,0.776502,25.26,1616.9,5.44,4.51,4.27,0.53,0.32,0.23,0.13,2.0
gpu0,layer_lru,0.5,2,160,2613,3,2610,0.001148,2544,0.998852,32.5,2079.8,7.0,5.8,5.49,0.68,0.41,0.29,0.17,2.0
gpu0,cost_aware,0.5,2,160,2613,499,2114,0.190968,1954,0.809032,26.32,1684.6,5.67,4.7,4.45,0.55,0.33,0.24,0.14,2.0
gpu0,belady,0.5,2,160,2613,1089,1524,0.416762,1364,0.583238,18.98,1214.4,4.09,3.39,3.21,0.4,0.24,0.17,0.1,2.0
