scope,regime,policy,pin_frac,budget_gib,slots,initial_records,initial_state_gib,repopulation_charged,requests,hits,misses,evictions,hit_rate,prefill_misses,decode_misses,prefill_hits,decode_hits,miss_frac,ssd_MiB_per_token,wall_s_at_0.29GiBps,wall_s_at_0.33GiBps,wall_s_at_0.37GiBps,wall_s_at_3.0GiBps,wall_s_at_5.0GiBps,wall_s_at_7.0GiBps,wall_s_at_12.0GiBps
full,C,belady_pin_same_state,0.25,16,1285,321,3.997,0,5099,3056,2043,1079,0.599333,1042,1001,187,2869,0.400667,1628.0,87.716,77.084,68.751,8.479,5.088,3.634,2.12
full,C,belady_pin_same_state,0.5,16,1285,642,7.994,0,5099,3377,1722,1079,0.662287,821,901,408,2969,0.337713,1372.2,73.934,64.972,57.948,7.147,4.288,3.063,1.787
full,C,belady_pin_same_state,0.75,16,1285,963,11.99,0,5099,3698,1401,1079,0.72524,716,685,513,3185,0.27476,1116.4,60.152,52.861,47.146,5.815,3.489,2.492,1.454
full,C,belady_pin_same_state,0.9,16,1285,1156,14.394,0,5099,3891,1208,1079,0.763091,523,685,706,3185,0.236909,962.6,51.866,45.579,40.651,5.014,3.008,2.149,1.253
full,C,belady_pin_same_state,0.99,16,1285,1272,15.838,0,5099,4007,1092,1079,0.78584,407,685,822,3185,0.21416,870.2,46.885,41.202,36.748,4.532,2.719,1.942,1.133
full,A,lru,,20,1606,0,0.0,0,5099,2668,2431,825,0.52324,1229,1202,0,2668,0.47676,1937.2,104.375,91.724,81.808,10.09,6.054,4.324,2.522
full,A,engine_priority_lru,,20,1606,0,0.0,0,5099,2227,2872,1266,0.436752,1229,1643,0,2227,0.563248,2288.6,123.31,108.363,96.648,11.92,7.152,5.109,2.98
full,A,arc,,20,1606,0,0.0,0,5099,2663,2436,830,0.522259,1229,1207,0,2663,0.477741,1941.2,104.59,91.912,81.976,10.11,6.066,4.333,2.528
full,A,lfu,,20,1606,0,0.0,0,5099,2668,2431,825,0.52324,1229,1202,0,2668,0.47676,1937.2,104.375,91.724,81.808,10.09,6.054,4.324,2.522
full,A,freq_x_recency,,20,1606,0,0.0,0,5099,2668,2431,825,0.52324,1229,1202,0,2668,0.47676,1937.2,104.375,91.724,81.808,10.09,6.054,4.324,2.522
full,A,layer_lru,,20,1606,0,0.0,0,5099,2641,2458,868,0.517945,1229,1229,0,2641,0.482055,1958.7,105.534,92.742,82.716,10.202,6.121,4.372,2.55
full,A,cost_aware,,20,1606,0,0.0,0,5099,2668,2431,825,0.52324,1229,1202,0,2668,0.47676,1937.2,104.375,91.724,81.808,10.09,6.054,4.324,2.522
full,A,belady_cold,,20,1606,0,0.0,0,5099,2735,2364,758,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,B,freq_lru_warmup,0.5,20,1606,0,0.0,0,5099,2655,2444,838,0.52069,1229,1215,0,2655,0.47931,1947.6,104.933,92.214,82.245,10.144,6.086,4.347,2.536
full,B,freq_lru_warmup_s4,0.5,20,1606,0,0.0,0,5099,2676,2423,817,0.524809,1229,1194,0,2676,0.475191,1930.8,104.032,91.422,81.538,10.056,6.034,4.31,2.514
full,C,static_freq_prewarm,,20,1606,1606,19.997,0,5099,4341,758,0,0.851343,73,685,1156,3185,0.148657,604.0,32.545,28.6,25.508,3.146,1.888,1.348,0.786
full,C,static_layer_freq_prewarm,,20,1606,1590,19.797,0,5099,4325,774,0,0.848206,137,637,1092,3233,0.151794,616.8,33.232,29.204,26.047,3.212,1.927,1.377,0.803
full,C,freq_lru_prewarm,0.25,20,1606,401,4.993,0,5099,3082,2017,812,0.604432,969,1048,260,2822,0.395568,1607.3,86.6,76.103,67.876,8.371,5.023,3.588,2.093
full,C,freq_lru_prewarm,0.5,20,1606,803,9.998,0,5099,3538,1561,758,0.693862,744,817,485,3053,0.306138,1243.9,67.022,58.898,52.53,6.479,3.887,2.777,1.62
full,C,freq_lru_prewarm,0.75,20,1606,1204,14.991,0,5099,3939,1160,758,0.772504,475,685,754,3185,0.227496,924.4,49.805,43.768,39.036,4.814,2.889,2.063,1.204
full,C,freq_lru_prewarm,0.9,20,1606,1445,17.992,0,5099,4180,919,758,0.819769,234,685,995,3185,0.180231,732.3,39.457,34.675,30.926,3.814,2.289,1.635,0.954
full,C,freq_lru_prewarm,0.99,20,1606,1589,19.785,0,5099,4324,775,758,0.848009,90,685,1139,3185,0.151991,617.6,33.275,29.241,26.08,3.217,1.93,1.379,0.804
full,C,lru_prewarm_topN,,20,1606,1606,19.997,0,5099,3978,1121,1121,0.780153,73,1048,1156,2822,0.219847,893.3,48.13,42.296,37.724,4.653,2.792,1.994,1.163
full,C,belady_same_state_prewarm,,20,1606,1606,19.997,0,5099,4341,758,758,0.851343,73,685,1156,3185,0.148657,604.0,32.545,28.6,25.508,3.146,1.888,1.348,0.786
full,C,belady_pin_same_state,0.25,20,1606,401,4.993,0,5099,3136,1963,758,0.615023,969,994,260,2876,0.384977,1564.3,84.282,74.066,66.059,8.147,4.888,3.492,2.037
full,C,belady_pin_same_state,0.5,20,1606,803,9.998,0,5099,3538,1561,758,0.693862,744,817,485,3053,0.306138,1243.9,67.022,58.898,52.53,6.479,3.887,2.777,1.62
full,C,belady_pin_same_state,0.75,20,1606,1204,14.991,0,5099,3939,1160,758,0.772504,475,685,754,3185,0.227496,924.4,49.805,43.768,39.036,4.814,2.889,2.063,1.204
full,C,belady_pin_same_state,0.9,20,1606,1445,17.992,0,5099,4180,919,758,0.819769,234,685,995,3185,0.180231,732.3,39.457,34.675,30.926,3.814,2.289,1.635,0.954
full,C,belady_pin_same_state,0.99,20,1606,1589,19.785,0,5099,4324,775,758,0.848009,90,685,1139,3185,0.151991,617.6,33.275,29.241,26.08,3.217,1.93,1.379,0.804
full,A,lru,,24,1927,0,0.0,0,5099,2707,2392,465,0.530888,1229,1163,0,2707,0.469112,1906.1,102.701,90.252,80.495,9.928,5.957,4.255,2.482
full,A,engine_priority_lru,,24,1927,0,0.0,0,5099,2596,2503,576,0.509119,1229,1274,0,2596,0.490881,1994.6,107.466,94.44,84.23,10.388,6.233,4.452,2.597
full,A,arc,,24,1927,0,0.0,0,5099,2707,2392,465,0.530888,1229,1163,0,2707,0.469112,1906.1,102.701,90.252,80.495,9.928,5.957,4.255,2.482
full,A,lfu,,24,1927,0,0.0,0,5099,2707,2392,465,0.530888,1229,1163,0,2707,0.469112,1906.1,102.701,90.252,80.495,9.928,5.957,4.255,2.482
full,A,freq_x_recency,,24,1927,0,0.0,0,5099,2707,2392,465,0.530888,1229,1163,0,2707,0.469112,1906.1,102.701,90.252,80.495,9.928,5.957,4.255,2.482
full,A,layer_lru,,24,1927,0,0.0,0,5099,2679,2420,540,0.525397,1229,1191,0,2679,0.474603,1928.4,103.903,91.309,81.437,10.044,6.026,4.305,2.511
full,A,cost_aware,,24,1927,0,0.0,0,5099,2707,2392,465,0.530888,1229,1163,0,2707,0.469112,1906.1,102.701,90.252,80.495,9.928,5.957,4.255,2.482
full,A,belady_cold,,24,1927,0,0.0,0,5099,2735,2364,437,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,B,freq_lru_warmup,0.5,24,1927,0,0.0,0,5099,2706,2393,466,0.530692,1229,1164,0,2706,0.469308,1906.9,102.744,90.29,80.529,9.932,5.959,4.257,2.483
full,B,freq_lru_warmup_s4,0.5,24,1927,0,0.0,0,5099,2724,2375,448,0.534222,1229,1146,0,2724,0.465778,1892.6,101.971,89.611,79.923,9.857,5.914,4.225,2.464
full,C,static_freq_prewarm,,24,1927,1927,23.993,0,5099,4662,437,0,0.914297,0,437,1229,3433,0.085703,348.2,18.763,16.488,14.706,1.814,1.088,0.777,0.453
full,C,static_layer_freq_prewarm,,24,1927,1880,23.408,0,5099,4615,484,0,0.905079,24,460,1205,3410,0.094921,385.7,20.781,18.262,16.287,2.009,1.205,0.861,0.502
full,C,freq_lru_prewarm,0.25,24,1927,481,5.989,0,5099,3191,1908,462,0.625809,954,954,275,2916,0.374191,1520.4,81.92,71.99,64.208,7.919,4.751,3.394,1.98
full,C,freq_lru_prewarm,0.5,24,1927,963,11.99,0,5099,3698,1401,437,0.72524,716,685,513,3185,0.27476,1116.4,60.152,52.861,47.146,5.815,3.489,2.492,1.454
full,C,freq_lru_prewarm,0.75,24,1927,1445,17.992,0,5099,4180,919,437,0.819769,234,685,995,3185,0.180231,732.3,39.457,34.675,30.926,3.814,2.289,1.635,0.954
full,C,freq_lru_prewarm,0.9,24,1927,1734,21.59,0,5099,4469,630,437,0.876446,0,630,1229,3240,0.123554,502.0,27.049,23.77,21.201,2.615,1.569,1.121,0.654
full,C,freq_lru_prewarm,0.99,24,1927,1907,23.744,0,5099,4642,457,437,0.910375,0,457,1229,3413,0.089625,364.2,19.621,17.243,15.379,1.897,1.138,0.813,0.474
full,C,lru_prewarm_topN,,24,1927,1927,23.993,0,5099,4535,564,564,0.88939,0,564,1229,3306,0.11061,449.4,24.215,21.28,18.98,2.341,1.404,1.003,0.585
full,C,belady_same_state_prewarm,,24,1927,1927,23.993,0,5099,4662,437,437,0.914297,0,437,1229,3433,0.085703,348.2,18.763,16.488,14.706,1.814,1.088,0.777,0.453
full,C,belady_pin_same_state,0.25,24,1927,481,5.989,0,5099,3216,1883,437,0.630712,954,929,275,2941,0.369288,1500.5,80.847,71.047,63.366,7.815,4.689,3.349,1.954
full,C,belady_pin_same_state,0.5,24,1927,963,11.99,0,5099,3698,1401,437,0.72524,716,685,513,3185,0.27476,1116.4,60.152,52.861,47.146,5.815,3.489,2.492,1.454
full,C,belady_pin_same_state,0.75,24,1927,1445,17.992,0,5099,4180,919,437,0.819769,234,685,995,3185,0.180231,732.3,39.457,34.675,30.926,3.814,2.289,1.635,0.954
