prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,15,decode,cuda:0,132,4,128,128,98,34,0,priority_lru,fp16,1
q0,0,15,decode,cuda:1,126,9,117,117,109,17,0,priority_lru,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,0,priority_lru,fp16,1
q0,0,1,decode,pooled,258,9,249,249,181,77,0,priority_lru,fp16,1
q0,0,2,decode,pooled,258,12,246,246,184,74,0,priority_lru,fp16,1
q0,0,3,decode,pooled,258,4,254,254,178,80,0,priority_lru,fp16,1
q0,0,4,decode,pooled,258,10,248,248,203,55,0,priority_lru,fp16,1
q0,0,5,decode,pooled,258,5,253,253,191,67,0,priority_lru,fp16,1
q0,0,6,decode,pooled,258,6,252,252,171,87,0,priority_lru,fp16,1
q0,0,7,decode,pooled,258,12,246,246,184,74,0,priority_lru,fp16,1
q0,0,8,decode,pooled,258,15,243,243,175,83,0,priority_lru,fp16,1
q0,0,9,decode,pooled,258,7,251,251,165,93,0,priority_lru,fp16,1
q0,0,10,decode,pooled,258,11,247,247,168,90,0,priority_lru,fp16,1
q0,0,11,decode,pooled,258,7,251,251,191,67,0,priority_lru,fp16,1
q0,0,12,decode,pooled,258,13,245,245,203,55,0,priority_lru,fp16,1
q0,0,13,decode,pooled,258,15,243,243,205,53,0,priority_lru,fp16,1
q0,0,14,decode,pooled,258,23,235,235,202,56,0,priority_lru,fp16,1
q0,0,15,decode,pooled,258,13,245,245,207,51,0,priority_lru,fp16,1
