token,layer,device,route_d2h_host_wait_ms,native_call_wall_ms,source_wait_ms,fill_wait_ms,h2d_ms,decode_ms,expert_compute_ms,native_output_sync_wait_ms,shared_expert_ms,combine_ms,orchestration_ms,handoff_ms,provenance
0,36,1,0.032125,1308.978022,,1208.670460,,0.244906,1.514139,30.814215,,0.206130,,,route_d2h_host_wait_ms=HOST_WALL;native_call_wall_ms=HOST_WALL;source_wait_ms=UNKNOWN;fill_wait_ms=HOST_WALL;h2d_ms=UNKNOWN;decode_ms=HOST_WALL;expert_compute_ms=HOST_WALL;native_output_sync_wait_ms=HOST_WALL;shared_expert_ms=UNKNOWN;combine_ms=HOST_WALL;orchestration_ms=UNKNOWN;handoff_ms=UNKNOWN
0,37,1,0.029845,1543.044106,,1425.584851,,0.290085,1.780048,36.409973,,0.203887,,,route_d2h_host_wait_ms=HOST_WALL;native_call_wall_ms=HOST_WALL;source_wait_ms=UNKNOWN;fill_wait_ms=HOST_WALL;h2d_ms=UNKNOWN;decode_ms=HOST_WALL;expert_compute_ms=HOST_WALL;native_output_sync_wait_ms=HOST_WALL;shared_expert_ms=UNKNOWN;combine_ms=HOST_WALL;orchestration_ms=UNKNOWN;handoff_ms=UNKNOWN
0,38,1,0.030181,1554.069223,,1416.286593,,0.284137,1.782465,43.552123,,0.198190,,,route_d2h_host_wait_ms=HOST_WALL;native_call_wall_ms=HOST_WALL;source_wait_ms=UNKNOWN;fill_wait_ms=HOST_WALL;h2d_ms=UNKNOWN;decode_ms=HOST_WALL;expert_compute_ms=HOST_WALL;native_output_sync_wait_ms=HOST_WALL;shared_expert_ms=UNKNOWN;combine_ms=HOST_WALL;orchestration_ms=UNKNOWN;handoff_ms=UNKNOWN
0,39,1,0.026277,1767.734880,,1635.246471,,0.323130,1.931153,41.907526,,0.241837,,,route_d2h_host_wait_ms=HOST_WALL;native_call_wall_ms=HOST_WALL;source_wait_ms=UNKNOWN;fill_wait_ms=HOST_WALL;h2d_ms=UNKNOWN;decode_ms=HOST_WALL;expert_compute_ms=HOST_WALL;native_output_sync_wait_ms=HOST_WALL;shared_expert_ms=UNKNOWN;combine_ms=HOST_WALL;orchestration_ms=UNKNOWN;handoff_ms=UNKNOWN
0,40,1,0.027413,1535.898046,,1418.014447,,0.279066,1.834974,36.604493,,0.224240,,,route_d2h_host_wait_ms=HOST_WALL;native_call_wall_ms=HOST_WALL;source_wait_ms=UNKNOWN;fill_wait_ms=HOST_WALL;h2d_ms=UNKNOWN;decode_ms=HOST_WALL;expert_compute_ms=HOST_WALL;native_output_sync_wait_ms=HOST_WALL;shared_expert_ms=UNKNOWN;combine_ms=HOST_WALL;orchestration_ms=UNKNOWN;handoff_ms=UNKNOWN
0,41,1,0.029747,1674.531465,,1544.457830,,0.297964,1.942648,40.529633,,0.202496,,,route_d2h_host_wait_ms=HOST_WALL;native_call_wall_ms=HOST_WALL;source_wait_ms=UNKNOWN;fill_wait_ms=HOST_WALL;h2d_ms=UNKNOWN;decode_ms=HOST_WALL;expert_compute_ms=HOST_WALL;native_output_sync_wait_ms=HOST_WALL;shared_expert_ms=UNKNOWN;combine_ms=HOST_WALL;orchestration_ms=UNKNOWN;handoff_ms=UNKNOWN
0,42,1,0.039795,1786.091725,,1650.533197,,0.312095,1.884451,39.449264,,0.215460,,,route_d2h_host_wait_ms=HOST_WALL;native_call_wall_ms=HOST_WALL;source_wait_ms=UNKNOWN;fill_wait_ms=HOST_WALL;h2d_ms=UNKNOWN;decode_ms=HOST_WALL;expert_compute_ms=HOST_WALL;native_output_sync_wait_ms=HOST_WALL;shared_expert_ms=UNKNOWN;combine_ms=HOST_WALL;orchestration_ms=UNKNOWN;handoff_ms=UNKNOWN
7,0,0,0.035270,262.093266,,237.676039,,0.060677,0.373132,8.055933,,0.189080,,,route_d2h_host_wait_ms=HOST_WALL;native_call_wall_ms=HOST_WALL;source_wait_ms=UNKNOWN;fill_wait_ms=HOST_WALL;h2d_ms=UNKNOWN;decode_ms=HOST_WALL;expert_compute_ms=HOST_WALL;native_output_sync_wait_ms=HOST_WALL;shared_expert_ms=UNKNOWN;combine_ms=HOST_WALL;orchestration_ms=UNKNOWN;handoff_ms=UNKNOWN
7,1,0,0.028441,329.393360,,303.017210,,0.063800,0.364361,8.042814,,0.204102,,,route_d2h_host_wait_ms=HOST_WALL;native_call_wall_ms=HOST_WALL;source_wait_ms=UNKNOWN;fill_wait_ms=HOST_WALL;h2d_ms=UNKNOWN;decode_ms=HOST_WALL;expert_compute_ms=HOST_WALL;native_output_sync_wait_ms=HOST_WALL;shared_expert_ms=UNKNOWN;combine_ms=HOST_WALL;orchestration_ms=UNKNOWN;handoff_ms=UNKNOWN
7,2,0,0.030531,323.029015,,296.402214,,0.063140,0.415987,7.992012,,0.189363,,,route_d2h_host_wait_ms=HOST_WALL;native_call_wall_ms=HOST_WALL;source_wait_ms=UNKNOWN;fill_wait_ms=HOST_WALL;h2d_ms=UNKNOWN;decode_ms=HOST_WALL;expert_compute_ms=HOST_WALL;native_output_sync_wait_ms=HOST_WALL;shared_expert_ms=UNKNOWN;combine_ms=HOST_WALL;orchestration_ms=UNKNOWN;handoff_ms=UNKNOWN
