scope,regime,policy,pin_frac,budget_gib,slots,initial_records,initial_state_gib,contract,repopulation_charged,requests,hits,misses,evictions,hit_rate,prefill_misses,decode_misses,prefill_hits,decode_hits,miss_frac
full,C,lru_prewarm_topN,,20,1606,1606,19.997,C2_fetch_on_fault,0,5099,3978,1121,1121,0.780153,73,1048,1156,2822,0.219847
full,C,belady_same_state_prewarm,,20,1606,1606,19.997,C2_fetch_on_fault,0,5099,4341,758,758,0.851343,73,685,1156,3185,0.148657
full,C,belady_pin_same_state,0.25,20,1606,401,4.993,C3_pin_protected_plus_min_dynamics,0,5099,3136,1963,758,0.615023,969,994,260,2876,0.384977
full,C,belady_pin_same_state,0.5,20,1606,803,9.998,C3_pin_protected_plus_min_dynamics,0,5099,3538,1561,758,0.693862,744,817,485,3053,0.306138
full,C,belady_pin_same_state,0.75,20,1606,1204,14.991,C3_pin_protected_plus_min_dynamics,0,5099,3939,1160,758,0.772504,475,685,754,3185,0.227496
full,C,belady_pin_same_state,0.9,20,1606,1445,17.992,C3_pin_protected_plus_min_dynamics,0,5099,4180,919,758,0.819769,234,685,995,3185,0.180231
full,C,belady_pin_same_state,0.99,20,1606,1589,19.785,C3_pin_protected_plus_min_dynamics,0,5099,4324,775,758,0.848009,90,685,1139,3185,0.151991
full,A,lru,,24,1927,0,0.0,A_online,0,5099,2707,2392,465,0.530888,1229,1163,0,2707,0.469112
full,A,engine_priority_lru,,24,1927,0,0.0,A_online,0,5099,2596,2503,576,0.509119,1229,1274,0,2596,0.490881
full,A,arc,,24,1927,0,0.0,A_online,0,5099,2707,2392,465,0.530888,1229,1163,0,2707,0.469112
full,A,lfu,,24,1927,0,0.0,A_online,0,5099,2707,2392,465,0.530888,1229,1163,0,2707,0.469112
full,A,freq_x_recency,,24,1927,0,0.0,A_online,0,5099,2707,2392,465,0.530888,1229,1163,0,2707,0.469112
full,A,layer_lru,,24,1927,0,0.0,A_online,0,5099,2679,2420,540,0.525397,1229,1191,0,2679,0.474603
full,A,cost_aware,,24,1927,0,0.0,A_online,0,5099,2707,2392,465,0.530888,1229,1163,0,2707,0.469112
full,A,belady_cold,,24,1927,0,0.0,A_online,0,5099,2735,2364,437,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup,0.5,24,1927,0,0.0,B_causal_warmup,0,5099,2706,2393,466,0.530692,1229,1164,0,2706,0.469308
full,B,freq_lru_warmup_s4,0.5,24,1927,0,0.0,B_causal_warmup,0,5099,2724,2375,448,0.534222,1229,1146,0,2724,0.465778
full,C,static_freq_prewarm,,24,1927,1927,23.993,C1_bypass_fixed_set,0,5099,4662,437,0,0.914297,0,437,1229,3433,0.085703
full,C,static_layer_freq_prewarm,,24,1927,1880,23.408,C1_bypass_fixed_set_layer_budgeted,0,5099,4615,484,0,0.905079,24,460,1205,3410,0.094921
full,C,freq_lru_prewarm,0.25,24,1927,481,5.989,C3_pin_protected_plus_lru_remainder,0,5099,3191,1908,462,0.625809,954,954,275,2916,0.374191
full,C,freq_lru_prewarm,0.5,24,1927,963,11.99,C3_pin_protected_plus_lru_remainder,0,5099,3698,1401,437,0.72524,716,685,513,3185,0.27476
full,C,freq_lru_prewarm,0.75,24,1927,1445,17.992,C3_pin_protected_plus_lru_remainder,0,5099,4180,919,437,0.819769,234,685,995,3185,0.180231
full,C,freq_lru_prewarm,0.9,24,1927,1734,21.59,C3_pin_protected_plus_lru_remainder,0,5099,4469,630,437,0.876446,0,630,1229,3240,0.123554
full,C,freq_lru_prewarm,0.99,24,1927,1907,23.744,C3_pin_protected_plus_lru_remainder,0,5099,4642,457,437,0.910375,0,457,1229,3413,0.089625
full,C,lru_prewarm_topN,,24,1927,1927,23.993,C2_fetch_on_fault,0,5099,4535,564,564,0.88939,0,564,1229,3306,0.11061
full,C,belady_same_state_prewarm,,24,1927,1927,23.993,C2_fetch_on_fault,0,5099,4662,437,437,0.914297,0,437,1229,3433,0.085703
full,C,belady_pin_same_state,0.25,24,1927,481,5.989,C3_pin_protected_plus_min_dynamics,0,5099,3216,1883,437,0.630712,954,929,275,2941,0.369288
full,C,belady_pin_same_state,0.5,24,1927,963,11.99,C3_pin_protected_plus_min_dynamics,0,5099,3698,1401,437,0.72524,716,685,513,3185,0.27476
full,C,belady_pin_same_state,0.75,24,1927,1445,17.992,C3_pin_protected_plus_min_dynamics,0,5099,4180,919,437,0.819769,234,685,995,3185,0.180231
full,C,belady_pin_same_state,0.9,24,1927,1734,21.59,C3_pin_protected_plus_min_dynamics,0,5099,4469,630,437,0.876446,0,630,1229,3240,0.123554
full,C,belady_pin_same_state,0.99,24,1927,1907,23.744,C3_pin_protected_plus_min_dynamics,0,5099,4642,457,437,0.910375,0,457,1229,3413,0.089625
full,A,lru,,32,2570,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,engine_priority_lru,,32,2570,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,arc,,32,2570,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,lfu,,32,2570,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,freq_x_recency,,32,2570,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,layer_lru,,32,2570,0,0.0,A_online,0,5099,2723,2376,151,0.534026,1229,1147,0,2723,0.465974
full,A,cost_aware,,32,2570,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,belady_cold,,32,2570,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup,0.5,32,2570,0,0.0,B_causal_warmup,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup_s4,0.5,32,2570,0,0.0,B_causal_warmup,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,C,static_freq_prewarm,,32,2570,2364,29.435,C1_bypass_fixed_set,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,static_layer_freq_prewarm,,32,2570,2225,27.704,C1_bypass_fixed_set_layer_budgeted,0,5099,4960,139,0,0.97274,0,139,1229,3731,0.02726
full,C,freq_lru_prewarm,0.25,32,2570,642,7.994,C3_pin_protected_plus_lru_remainder,0,5099,3377,1722,0,0.662287,821,901,408,2969,0.337713
full,C,freq_lru_prewarm,0.5,32,2570,1285,16.0,C3_pin_protected_plus_lru_remainder,0,5099,4020,1079,0,0.78839,394,685,835,3185,0.21161
full,C,freq_lru_prewarm,0.75,32,2570,1927,23.993,C3_pin_protected_plus_lru_remainder,0,5099,4662,437,0,0.914297,0,437,1229,3433,0.085703
full,C,freq_lru_prewarm,0.9,32,2570,2313,28.8,C3_pin_protected_plus_lru_remainder,0,5099,5048,51,0,0.989998,0,51,1229,3819,0.010002
full,C,freq_lru_prewarm,0.99,32,2570,2364,29.435,C3_pin_protected_plus_lru_remainder,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,lru_prewarm_topN,,32,2570,2364,29.435,C2_fetch_on_fault,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_same_state_prewarm,,32,2570,2364,29.435,C2_fetch_on_fault,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_pin_same_state,0.25,32,2570,642,7.994,C3_pin_protected_plus_min_dynamics,0,5099,3377,1722,0,0.662287,821,901,408,2969,0.337713
full,C,belady_pin_same_state,0.5,32,2570,1285,16.0,C3_pin_protected_plus_min_dynamics,0,5099,4020,1079,0,0.78839,394,685,835,3185,0.21161
full,C,belady_pin_same_state,0.75,32,2570,1927,23.993,C3_pin_protected_plus_min_dynamics,0,5099,4662,437,0,0.914297,0,437,1229,3433,0.085703
full,C,belady_pin_same_state,0.9,32,2570,2313,28.8,C3_pin_protected_plus_min_dynamics,0,5099,5048,51,0,0.989998,0,51,1229,3819,0.010002
full,C,belady_pin_same_state,0.99,32,2570,2364,29.435,C3_pin_protected_plus_min_dynamics,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,A,lru,,48,3855,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,engine_priority_lru,,48,3855,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,arc,,48,3855,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,lfu,,48,3855,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,freq_x_recency,,48,3855,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,layer_lru,,48,3855,0,0.0,A_online,0,5099,2735,2364,28,0.53638,1229,1135,0,2735,0.46362
full,A,cost_aware,,48,3855,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,belady_cold,,48,3855,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup,0.5,48,3855,0,0.0,B_causal_warmup,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup_s4,0.5,48,3855,0,0.0,B_causal_warmup,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,C,static_freq_prewarm,,48,3855,2364,29.435,C1_bypass_fixed_set,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,static_layer_freq_prewarm,,48,3855,2336,29.086,C1_bypass_fixed_set_layer_budgeted,0,5099,5071,28,0,0.994509,0,28,1229,3842,0.005491
full,C,freq_lru_prewarm,0.25,48,3855,963,11.99,C3_pin_protected_plus_lru_remainder,0,5099,3698,1401,0,0.72524,716,685,513,3185,0.27476
full,C,freq_lru_prewarm,0.5,48,3855,1927,23.993,C3_pin_protected_plus_lru_remainder,0,5099,4662,437,0,0.914297,0,437,1229,3433,0.085703
full,C,freq_lru_prewarm,0.75,48,3855,2364,29.435,C3_pin_protected_plus_lru_remainder,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,freq_lru_prewarm,0.9,48,3855,2364,29.435,C3_pin_protected_plus_lru_remainder,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,freq_lru_prewarm,0.99,48,3855,2364,29.435,C3_pin_protected_plus_lru_remainder,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,lru_prewarm_topN,,48,3855,2364,29.435,C2_fetch_on_fault,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_same_state_prewarm,,48,3855,2364,29.435,C2_fetch_on_fault,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_pin_same_state,0.25,48,3855,963,11.99,C3_pin_protected_plus_min_dynamics,0,5099,3698,1401,0,0.72524,716,685,513,3185,0.27476
full,C,belady_pin_same_state,0.5,48,3855,1927,23.993,C3_pin_protected_plus_min_dynamics,0,5099,4662,437,0,0.914297,0,437,1229,3433,0.085703
full,C,belady_pin_same_state,0.75,48,3855,2364,29.435,C3_pin_protected_plus_min_dynamics,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_pin_same_state,0.9,48,3855,2364,29.435,C3_pin_protected_plus_min_dynamics,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_pin_same_state,0.99,48,3855,2364,29.435,C3_pin_protected_plus_min_dynamics,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,A,lru,,64,5140,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,engine_priority_lru,,64,5140,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,arc,,64,5140,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,lfu,,64,5140,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,freq_x_recency,,64,5140,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,layer_lru,,64,5140,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,cost_aware,,64,5140,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,belady_cold,,64,5140,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup,0.5,64,5140,0,0.0,B_causal_warmup,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup_s4,0.5,64,5140,0,0.0,B_causal_warmup,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,C,static_freq_prewarm,,64,5140,2364,29.435,C1_bypass_fixed_set,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,static_layer_freq_prewarm,,64,5140,2364,29.435,C1_bypass_fixed_set_layer_budgeted,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,freq_lru_prewarm,0.25,64,5140,1285,16.0,C3_pin_protected_plus_lru_remainder,0,5099,4020,1079,0,0.78839,394,685,835,3185,0.21161
full,C,freq_lru_prewarm,0.5,64,5140,2364,29.435,C3_pin_protected_plus_lru_remainder,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,freq_lru_prewarm,0.75,64,5140,2364,29.435,C3_pin_protected_plus_lru_remainder,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,freq_lru_prewarm,0.9,64,5140,2364,29.435,C3_pin_protected_plus_lru_remainder,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,freq_lru_prewarm,0.99,64,5140,2364,29.435,C3_pin_protected_plus_lru_remainder,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,lru_prewarm_topN,,64,5140,2364,29.435,C2_fetch_on_fault,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_same_state_prewarm,,64,5140,2364,29.435,C2_fetch_on_fault,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_pin_same_state,0.25,64,5140,1285,16.0,C3_pin_protected_plus_min_dynamics,0,5099,4020,1079,0,0.78839,394,685,835,3185,0.21161
full,C,belady_pin_same_state,0.5,64,5140,2364,29.435,C3_pin_protected_plus_min_dynamics,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_pin_same_state,0.75,64,5140,2364,29.435,C3_pin_protected_plus_min_dynamics,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_pin_same_state,0.9,64,5140,2364,29.435,C3_pin_protected_plus_min_dynamics,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,C,belady_pin_same_state,0.99,64,5140,2364,29.435,C3_pin_protected_plus_min_dynamics,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0
full,A,lru,,96,7710,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
full,A,engine_priority_lru,,96,7710,0,0.0,A_online,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362
